RNA17	147	106	1
SSUA	113	15	2
SSUA	113	16	1
RNA43	80	9	3
RNA43	32	10	2
RNA15_F	45	0	9
RNA43	32	12	1
RNA15_F	45	1	2
RNA43	32	13	2
RNA15_F	45	2	1
RNA15_F	45	4	1
RNA15_F	45	5	1
RNA15_F	45	6	1
RNA15_F	45	7	2
RNA29	54	10	275
RNA14	122	11	1
RNA29	54	11	221
RNA2	141	0	2
RNA29	54	12	899
RNA29	54	13	38
RNA29	54	14	9
RNA32_F	75	1	2
RNA29	54	15	44
RNA5_F	113	12	1
RNA34_F	90	0	1354
RNA29	54	16	6
RNA34_F	90	1	120
RNA29	54	17	1
RNA34_F	90	2	201
RNA29	54	18	359
RNA34_F	90	3	170
SSUD	134	1	1
RNA34_F	90	4	238
RNA34_F	90	5	160
RNA34_F	90	6	115
RNA34_F	90	7	67
RNA34_F	90	8	81
RNA29	65	0	18
RNA34_F	90	9	62
RNA29	65	1	12
RNA29	65	2	3
RNA29	65	3	7
SSUF_2	42	10	73
RNA29	65	4	3
SSUF_2	42	11	70
RNA29	65	5	1
SSUF_2	42	12	8
SSUF_2	42	13	47
LSUB	103	12	2
SSUF_2	42	14	56
RNA29	65	8	1
RNA16	54	21	1
SSUF_2	42	15	6
RNA29	65	9	1
RNA8	129	0	3
RNA23t_F	78	0	1
RNA28	54	0	48
RNA8	129	2	3
RNA23t_F	78	2	1
RNA28	54	1	8
RNA8	129	3	2
RNA3	100	10	23
RNA23t_F	78	3	1
RNA28	54	2	2
RNA8	129	4	4
RNA3	100	11	20
RNA28	54	3	4
RNA8	129	5	5
RNA28	54	4	2
RNA15_F	44	14	1
RNA3	100	13	1
RNA23t_F	78	6	7
RNA31_F	103	11	1
RNA28	54	5	1
RNA16	54	29	1
RNA8	129	7	1
RNA15_F	44	15	7
RNA28	54	6	4
RNA15_F	44	16	11
RNA31_F	103	13	1
RNA28	54	7	4
RNA15_F	44	17	4
RNA3	100	16	1
RNA23t_F	78	9	3
RNA28	54	8	2
RNA31_F	69	0	15
RNA15_F	44	18	1
RNA28	54	9	1
RNA15_F	44	19	1
RNA33_F	84	0	1
RNA31_F	69	3	9
RNA33_F	84	1	2
RNA31_F	69	4	91
RNA31_F	69	5	1
RNA7	135	16	1
RNA31_F	69	6	1
RNA10_1	52	0	3
RNA31_F	69	7	1
RNA10_1	52	1	1
RNA43	83	0	2
RNA31_F	69	9	1
RNA10_1	52	4	2
RNA10_1	52	9	2
RNA8	110	0	12152
RNA34_F	150	12	1
SSUB	144	18	12
RNA8	110	1	386
RNA15_F	48	0	5
RNA8	110	2	4
RNA15_F	48	1	11
RNA8	110	3	109767
RNA8	110	4	1008
RNA8	110	5	923
RNA8	110	6	428
RNA40	113	11	1
RNA34_F	150	18	1
RNA8	110	7	124
RNA8	110	8	77
RNA8	110	9	8
RNA28	94	20	1
RNA15_F	48	8	1
RNA9	108	12	28
RNA9	108	13	2
RNA19	127	0	1
RNA9	108	14	2
RNA7	92	10	13
RNA9	108	15	3
RNA7	92	11	70
RNA7	92	12	3437
RNA7	92	13	9753
RNA34_F	93	0	465
RNA40	63	0	1
RNA9	108	18	1
RNA7	92	14	86
RNA34_F	93	1	172
SSUA	140	0	15
RNA7	92	15	8
RNA34_F	93	2	1244
SSUA	140	1	7
RNA7	92	16	2
RNA34_F	93	3	341
SSUA	140	2	39
RNA7	92	17	3
RNA34_F	93	4	210
RNA11_1	61	0	17
SSUD	117	11	1
SSUA	140	3	28
RNA34_F	93	5	110
RNA11_1	61	1	4
SSUA	140	4	51
RNA7	92	19	1
RNA34_F	93	6	32
RNA11_1	61	2	2
SSUA	140	5	22
RNA34_F	93	7	16
RNA11_1	61	3	3
SSUA	140	6	3
RNA34_F	93	8	17
RNA11_1	61	4	2
RNA29	68	0	10
RNA34_F	93	9	11
RNA11_1	61	5	1
RNA29	68	1	1
RNA11_1	61	6	2
SSUA	140	9	1
RNA29	68	2	3
RNA11_1	61	7	3
SSUF_2	99	18	1
RNA29	68	5	2
RNA29	68	7	4
RNA29	68	8	2
RNA29	68	9	2
RNA28	57	0	12
RNA28	57	1	5
RNA28	57	2	1
RNA28	57	3	2
RNA28	57	4	1
RNA28	57	7	2
RNA28	57	9	3
RNA11_F	140	1	1
RNA33_F	87	2	2
RNA15_F	44	20	1
RNA10_1	55	1	1
RNA31_F	76	10	2
RNA43	86	0	2
RNA10_1	55	2	1
RNA31_F	76	11	417
RNA43	86	1	4
RNA10_1	55	3	3
RNA31_F	76	12	9
RNA31_F	76	13	2
RNA10_1	55	5	1
RNA7	135	21	1
RNA31_F	76	16	1
RNA10_1	55	8	1
