RNA15_F	12	230
RNA15_F	13	180
RNA15_F	14	122
RNA15_F	15	67
RNA15_F	16	26
RNA15_F	17	22
RNA15_F	18	14
RNA15_F	19	4
RNA15_F	2	79889
RNA15_F	20	8
RNA15_F	21	3
RNA15_F	22	2
RNA15_F	23	2
RNA15_F	24	1
RNA15_F	3	5106
RNA15_F	4	2524
RNA15_F	5	1764
RNA15_F	6	1202
RNA15_F	7	2552
RNA15_F	8	2865
RNA15_F	9	3839
RNA1	6	229
RNA16	0	9779
RNA16	1	8307
RNA16	10	5294
RNA16	11	6721
RNA16	12	7763
RNA16	13	8848
RNA16	14	8955
RNA16	15	8788
RNA16	16	7549
RNA16	17	5840
RNA16	18	3843
RNA16	19	1988
RNA16	2	7824
RNA16	20	872
RNA16	21	367
RNA16	22	142
RNA16	23	58
RNA16	24	36
RNA16	25	27
RNA16	26	17
RNA16	27	5
RNA16	28	4
RNA16	29	1
RNA16	3	72349
RNA16	30	3
RNA16	38	1
RNA16	4	113750
RNA16	43	1
RNA16	5	11302
RNA16	6	4953
RNA16	69	1
RNA16	7	2617
RNA16	8	2632
RNA16	9	3503
RNA1	7	185
RNA17	0	424326
RNA17	1	63678
RNA17	10	61789
RNA17	103	2
RNA17	105	1
RNA17	106	1
RNA17	107	2
RNA17	108	1
RNA17	109	7
RNA17	11	70407
RNA17	12	79511
RNA17	13	59162
RNA17	14	37409
RNA17	15	19041
RNA17	16	8586
RNA17	17	3765
RNA17	18	1864
RNA17	19	832
RNA17	2	9673
RNA17	20	474
RNA17	21	265
RNA17	22	136
RNA17	23	70
RNA17	24	38
RNA17	25	37
RNA17	26	17
RNA17	27	11
RNA17	28	5
RNA17	29	3
RNA17	3	43838
RNA17	30	5
RNA17	32	2
RNA17	33	2
RNA17	34	2
RNA17	35	2
RNA17	36	1
RNA17	37	3
RNA17	38	1
RNA17	39	3
RNA17	4	47116
RNA17	41	1
RNA17	43	2
RNA17	44	4
RNA17	45	1
RNA17	47	2
RNA17	5	96638
RNA17	52	2
RNA17	53	3
RNA17	54	1
RNA17	58	1
RNA17	6	436592
RNA17	60	1
RNA17	61	1
RNA17	62	1
RNA17	65	1
RNA17	67	1
RNA17	7	1439600
RNA17	72	1
RNA17	8	304288
RNA17	83	1
RNA17	85	1
RNA17	9	95817
RNA17	94	2
RNA17	95	2
RNA1	8	295
RNA18	0	21682
RNA18	1	14548
RNA18	10	7345
RNA18	11	3013
RNA18	12	2169
RNA18	13	2124
RNA18	14	1638
RNA18	15	1155
RNA18	16	818
RNA18	17	589
RNA18	18	385
RNA18	19	222
RNA18	2	9938
RNA18	20	99
RNA18	21	51
RNA18	22	23
RNA18	23	9
RNA18	24	6
RNA18	25	6
RNA18	27	1
RNA18	28	1
RNA18	3	16805
RNA18	30	1
RNA18	4	29535
RNA18	46	1
RNA18	5	44534
RNA18	6	87444
RNA18	7	53719
RNA18	8	38369
RNA18	9	14132
RNA1	9	221
RNA19	0	84063
RNA19	1	14610
RNA19	10	1180
RNA19	11	852
RNA19	12	577
RNA19	13	387
RNA19	14	241
RNA19	15	154
RNA19	16	106
RNA19	17	86
RNA19	18	72
RNA19	19	39
RNA19	2	4468
RNA19	20	27
RNA19	21	8
RNA19	22	3
RNA19	23	2
RNA19	25	1
RNA19	3	3414
RNA19	4	1603
RNA19	5	538
RNA19	6	795
RNA19	7	879
RNA19	8	1091
RNA19	9	1118
RNA2	0	581
RNA2	1	135
RNA2	10	497
RNA2	11	314
RNA2	12	154
RNA2	13	68
RNA2	14	48
RNA2	15	29
RNA2	16	22
RNA2	17	9
RNA2	18	8
RNA2	19	2
RNA2	2	24
RNA2	20	4
RNA2	21	1
RNA2	22	1
RNA2	24	1
RNA2	27	1
RNA2	28	1
RNA2	3	31
RNA23t_1	0	8548
RNA23t_1	1	1714
RNA23t_1	10	1617
RNA23t_1	11	1896
RNA23t_1	12	1910
RNA23t_1	13	1928
RNA23t_1	14	2055
RNA23t_1	15	3311
RNA23t_1	16	5164
RNA23t_1	17	9346
RNA23t_1	18	22647
RNA23t_1	19	35945
RNA23t_1	2	820
RNA23t_1	20	13691
RNA23t_1	21	4202
RNA23t_1	22	1651
RNA23t_1	23	599
RNA23t_1	24	193
RNA23t_1	25	71
RNA23t_1	26	36
RNA23t_1	27	31
RNA23t_1	28	10
RNA23t_1	29	9
RNA23t_1	3	874
RNA23t_1	30	3
RNA23t_1	31	2
RNA23t_1	32	1
RNA23t_1	33	1
RNA23t_1	37	1
RNA23t_1	38	1
RNA23t_1	4	663
RNA23t_1	43	1
RNA23t_1	44	1
RNA23t_1	47	2
RNA23t_1	5	798
RNA23t_1	51	1
RNA23t_1	6	832
RNA23t_1	61	1
RNA23t_1	7	773
RNA23t_1	8	828
RNA23t_1	86	1
RNA23t_1	9	1107
RNA23t_1	93	1
RNA23t_2	0	4602551
RNA23t_2	1	27907
RNA23t_2	10	339
RNA23t_2	109	1
RNA23t_2	11	254
RNA23t_2	12	294
RNA23t_2	13	267
RNA23t_2	14	251
RNA23t_2	15	209
RNA23t_2	16	151
RNA23t_2	17	106
RNA23t_2	18	87
RNA23t_2	19	42
RNA23t_2	2	37753
RNA23t_2	20	27
RNA23t_2	21	11
RNA23t_2	22	8
RNA23t_2	23	5
RNA23t_2	24	1
RNA23t_2	25	2
RNA23t_2	26	1
RNA23t_2	3	601
RNA23t_2	4	269
RNA23t_2	5	146
RNA23t_2	53	1
RNA23t_2	6	160
RNA23t_2	7	199
RNA23t_2	8	304
RNA23t_2	9	262
RNA23t_F	0	14577
RNA23t_F	1	17227
RNA23t_F	10	159
RNA23t_F	11	104
RNA23t_F	12	59
RNA23t_F	13	27
RNA23t_F	14	24
RNA23t_F	15	12
RNA23t_F	16	15
RNA23t_F	17	9
RNA23t_F	18	18
RNA23t_F	19	7
